Localization表格,,,,,
Both,,,,,
ID,VariableName,VariableComment,Chinese,ChineseTraditional,English
51243,,,炎舞虹镜 II,炎舞虹鏡 II,Flameburst Slam II
51244,,,炎舞虹镜 III,炎舞虹鏡 III,Flameburst Slam III
51245,,,炎舞虹镜 IV,炎舞虹鏡 IV,Flameburst Slam IV
51246,,,炎舞虹镜 V,炎舞虹鏡 V,Flameburst Slam V
51247,,,药剂师 I,藥劑師 I,Alchemist I
51248,,,药剂师 II,藥劑師 II,Alchemist II
51249,,,药剂师 III,藥劑師 III,Alchemist III
51250,,,药剂师 IV,藥劑師 IV,Alchemist IV
51251,,,药剂师 V,藥劑師 V,Alchemist V
51252,,,夜狼钩爪 I,夜狼鉤爪 I,Nightwolf Hook I
51253,,,夜狼钩爪 II,夜狼鉤爪 II,Nightwolf Hook II
51254,,,夜狼钩爪 III,夜狼鉤爪 III,Nightwolf Hook III
51255,,,夜狼钩爪 IV,夜狼鉤爪 IV,Nightwolf Hook IV
51256,,,夜狼钩爪 V,夜狼鉤爪 V,Nightwolf Hook V
51257,,,战术陷阱 I,戰術陷阱 I,Tactical Trap I
51258,,,战术陷阱 II,戰術陷阱 II,Tactical Trap II
51259,,,战术陷阱 III,戰術陷阱 III,Tactical Trap III
51260,,,战术陷阱 IV,戰術陷阱 IV,Tactical Trap IV
51261,,,战术陷阱 V,戰術陷阱 V,Tactical Trap V
51262,,,致残打击 I,致殘打擊 I,Crippling Strike I
51263,,,致残打击 II,致殘打擊 II,Crippling Strike II
51264,,,致残打击 III,致殘打擊 III,Crippling Strike III
51265,,,致残打击 IV,致殘打擊 IV,Crippling Strike IV
51266,,,致残打击 V,致殘打擊 V,Crippling Strike V
51267,,,终结者模式 I,終結者模式 I,Terminator Mode I
51268,,,终结者模式 II,終結者模式 II,Terminator Mode II
51269,,,终结者模式 III,終結者模式 III,Terminator Mode III
51270,,,终结者模式 IV,終結者模式 IV,Terminator Mode IV
51271,,,终结者模式 V,終結者模式 V,Terminator Mode V
51999,,,未启用技能,null,null
59000,,,暗夜是我的领域，敌人将无处可逃。,暗夜是我的領域，敵人將無處可逃。,"Night is my realm, and there is nowhere to hide."
59001,,,大家好，谁想被我冰到掉渣？,大家好，誰想被我冰到掉渣？,Who wants to be frozen into pieces?
59002,,,火焰与狼灵，随我的舞步飞扬！,火焰與狼靈，隨我的舞步飛揚！,"Flame and spirits, soar with my dance!"
59003,,,科学的时代来临了。,科學的時代來臨了。,The age of science has arrived.
59004,,,科学和魔法的界限？哦，我早就打破了那个。,科學和魔法的界限？哦，我早就打破了那個。,"The boundary between science and magic? Oh, I broke that long ago."
59005,,,狼雅降临，冷艳致命。,狼雅降臨，冷艷致命。,"Langya descends, coldly and deadly."
59006,,,没有海豹，只有狼。,沒有海豹，只有狼。,"There are no seals, only wolves."
59007,,,你知道诸葛连弩吗？,你知道諸葛連弩嗎？,Do you know the Chu-ko-nu?
59008,,,热血沸腾！,熱血沸騰！,Fired Up!
59009,,,我回来了，就像他说的那样！,我回來了，就像他說的那樣！,"I'm back, just like he said!"
59010,,,真男人，死也要死在前线。,真男人，死也要死在前線。,Real men die on the frontline.
59011,,,站稳，守护者冲锋！,站穩，守護者衝鋒！,"Stand firm, the guardian charges!"
59012,,,无声致命。,無聲致命。,Silent but deadly.
59013,,,智慧与科学，为您服务。,智慧與科學，為您服務。,"Wisdom and science, at your service."
59014,,,魔法，在小小漩涡中旋转。,魔法，在小小漩渦中旋轉。,Magic swirls in tiny whirls.
60000,,,气球炸弹塔,氣球炸彈塔,Balloon Launcher
60001,,,风刃发射器,風刃發射器,Blast Orb
60002,,,电磁震荡塔,電磁震蕩塔,Orbit Orb
60003,,,飞镖发射器,飛鏢發射器,Ninja Star
60004,,,天空之矛,天空之矛,Sky Spear
60005,,,霰弹塔,霰彈塔,Shotgun Tower
60006,,,回旋飞镖塔,回旋飛鏢塔,Boomerang
60007,,,火炮塔,火炮塔,Meteor Cannon
60008,,,石墩,石墩,Stone Pillar
60009,,,镶嵌塔,鑲嵌塔,Inlaid Tower
60010,,,投石机,投石機,Trebuchet
60011,,,防空飞弹塔,防空飛彈塔,Anti-aircraft
60012,,,十字弓,十字弓,Crossbow
61000,,,[地面目标]对目标方向发射一颗波导能量弹，对经过的所有敌人造成伤害。飞行距离有上限。,對目標方向發射一顆波導能量彈，對經過的所有敵人造成傷害。飛行距離有上限。,"Fire a waveguide energy bomb in the direction of the target, dealing damage to all enemies in its path. There is an upper limit to the flight distance."
61001,,,[地面目标]每若干秒在塔周围生成一个能量球，与路过的敌人发生碰撞时球体消失并造成伤害。,每若幹秒在塔周圍生成一個能量球，與路過的敵人發生碰撞時球體消失並造成傷害。,"Spawn an energy ball around the tower every few seconds. When you collide with a passing enemy, the ball disappears and deals damage."
61002,,,[空中目标]利用热气球将炸弹升向空中，这些炸弹会在接近目标时引爆，对一片区域内的空中单位造成破坏。,利用熱氣球將炸彈升向空中，這些炸彈會在接近目標時引爆，對一片區域內的空中單位造成破壞。,"Hot air balloons are used to lift bombs into the air, which will detonate as they approach their target, causing damage to air units in an area."
61003,,,[地面目标]结合了古老的工艺与简单的机械原理，快速而精准地向敌人发射飞镖。,結合了古老的工藝與簡單的機械原理，快速而精準地向敵人發射飛鏢。,A combination of ancient craftsmanship and simple mechanics to fire darts at enemies with speed and precision.
61004,,,[所有目标]能够发射重型长矛，以击落任何想要穿越防线的敌人，擅长对精英目标进行精确打击。,能夠發射重型長矛，以擊落任何想要穿越防線的敵人，擅長對精英目標進行精準打擊。,"Capable of launching heavy spears to knock down any enemy attempting to breach the defenses, excels at precise strikes against elite targets"
61005,,,[地面目标]类似霰弹枪的原理，发射一组小型弹丸对面前30度扇形范围内所有敌人造成伤害。,類似霰彈槍的原理，發射一組小型彈丸對面前30度扇形範圍內所有敵人造成傷害。,"Similar to the principle of a shotgun, fire a group of small pellets that deal damage to all enemies within a 30-degree sector in front of them."
61006,,,[空中目标]调整了飞镖发射器的结构设计，使其可以对空中狭窄区域内来回打击。,調整了防空飛彈塔的結構設計，使其可以對空中和地面單位同時實施打擊。對空中單位傷害減半,The structural design of the air defense missile tower was adjusted so that it could strike air and ground units simultaneously. Damage to air units reduced by half
61007,,,[地面目标]向天空中发射重型炮弹，经过一段时间后炮弹在目标位置垂直落向地面造成AOE伤害。,向天空中發射重型炮彈，經過一段時間後炮彈在目標位置垂直落向地面造成AOE傷害。,"Fire heavy artillery shells into the air, and after a period of time, the shells fall vertically to the ground at the target position to cause AOE damage."
61008,,,放置后，可修改敌人行进路径，部分战斗道具可放置在其上方,擋路用，部分道具可以放置在上方,"For blocking the way, some items can be placed above"
61009,,,[所有目标]能够调动自然元素的力量，发射具有不同元素属性的能量球攻击敌人。（需要安装宝石才能攻击）,能夠調動自然元素的力量，發射具有不同元素屬性的能量球攻擊敵人。（需要安裝寶石才能攻擊）,It can mobilize the power of natural elements and launch energy balls with different elemental attributes to attack enemies. (Gems need to be installed to attack)
61010,,,[地面目标]古老的军事工程但仍然可以投入战场使用，投出的成捆碎石在撞击时会碎裂造成AOE伤害，但无法攻击近处。,古老的軍事工程但仍然可以投入戰場使用，投出的成捆碎石在撞擊時會碎裂造成AOE傷害，但無法攻擊近處。,"Old military engineering, but still usable in the field, throws bundles of rubble that shatter on impact, inflicting AOE damage, but can't hit close."
61011,,,[空中目标]能够一次发射多枚小型防空弹，针对多个飞行目标进行精准打击。无法攻击地面敌人,能夠一次發射多枚小型防空彈，針對多個飛行目標進行精準打擊。無法攻擊地面敵人,It can launch multiple small air defense missiles at a time to accurately strike multiple flying targets. Unable to attack ground enemies
61012,,,[所有目标]初级防御塔，使用拉力来弹射出箭矢，为城防提供基本保护。,初級防禦塔，使用拉力來彈射出箭矢，為城防提供基本保護。,"Primary defense towers, which use tension to catapult arrows, provide basic protection for city defenses."
62000,,,升级消耗,升級消耗,Cost
62001,,,火力强化,火力强化,Dmg Boost
62002,,,速射,速射,Rapid Fire
62003,,,爆炸扩散,爆炸擴散,Extra Powder
62004,,,多多益善,多多益善,Extra Orbs
62005,,,投石机伤害增加,投石機傷害增加,Catapult Damage Increase
62006,,,投石机爆炸范围增加,投石機爆炸範圍增加,Catapult Blast Radius Increase
62007,,,镶嵌塔伤害增加,鑲嵌塔傷害增加,Inlaid Tower Damage Increase
62008,,,镶嵌塔攻击间隔减少,鑲嵌塔攻擊間隔減少,Inlaid Tower Attack Interval Reduction
62009,,,连击强化,連擊強化,Double Shot
62010,,,多重射击,多重射擊,Multi-shots
62011,,,能量转移,能量轉移,Energy Transfer
62012,,,激励,激勵,Rampage Boost
62013,,,火力集群,火力集群,Clustered Might
62014,,,随机改造,隨機改造,Random Transform
62015,,,击退,擊退,Knockback
62016,,,扩容,擴容,Extra Bullet
62017,,,短距疾射,短距疾射,Close-Range Burst 
62018,,,弹射子弹,彈射子彈,Bouncing Bullets
62019,,,灼烧路面,灼燒路面,Burning Area
62020,,,范围强化,範圍强化,Searching Range
62021,,,连续投掷,連續投擲,Extra Throw
62022,,,致残,致殘,Crippling Throw
62023,,,回音镖,回音鏢,Double Throw
62024,,,热身运动,熱身運動,Warm Up
62025,,,气球音爆,氣球音爆,Sonic Boom
62026,,,破甲,破甲,Armor Breaker
62027,,,斩杀,斬殺,Execute
62028,,,修复,修復,Repair
62029,,,穿透强化,穿透强化,Penetration
62030,,,投石机射程增加,投石機射程增加,Catapult Range Increase
62031,,,"投石机子弹飞行距离越远,爆炸范围越大","投石機子彈飛行距離越遠,爆炸範圍越大","Catapult Bullet Travels Farther, Larger Explosion Range"
62032,,,"投石机子弹飞行距离越远,伤害越大","投石機子彈飛行距離越遠,傷害越大","Catapult Bullet Travels Farther, More Damage"
62033,,,投石机子弹对爆炸中心一定范围内的敌人伤害增加,投石機子彈對爆炸中心一定範圍內的敵人傷害增加,Catapult Bullet Increases Damage to Enemies Near Blast Center
62034,,,"投石机子弹飞行速度增加,伤害增加","投石機子彈飛行速度增加,傷害增加",Catapult Bullet Speed and Damage Increase
62035,,,投石机命中时有几率眩晕敌人,投石機命中時有幾率眩晕敵人,Catapult Hits May Stun Enemies
62036,,,镶嵌塔紫宝石目标增加,鑲嵌塔紫寶石目標增加,Inlaid Tower Amethyst Target Increase
62037,,,鼓舞,鼓舞,Inspiration
62038,,,落井下石,落井下石,Bully
62039,,,火力全开,火力全開,Rapid Surge
62040,,,风刃强化,風刃强化,Enhanced Orb
62041,,,减速磁场,減速磁場,Slowing Zone
62042,,,空袭震波,空襲震波,Areial Shockwave
62043,,,弹射飞镖,彈射飛鏢,Bouncing Star
62044,,,专注,專注,Focus
62045,,,致命一击,致命一擊,Fatal Strike
62046,,,先发制人,先發制人,Early Assult
62047,,,动力加速度,動力加速度,Attack Fury
62048,,,乱射,亂射,Wild Throw
62049,,,小型陨石,小型隕石,Smaller Barrage 
62050,,,不稳定过载,不穩定過載,Unstable Crit
62051,,,火药节约,火藥節約,Eco Powder
62052,,,梅开二度,梅開二度,Barrage Spread
62053,,,巨兽杀手,巨獸殺手,Giant Killer
62054,,,势能集群,勢能集群,Kinetic Cluster
62055,,,预备弹药,預備彈藥,Prepared Bullets
62056,,,弹丸收束,彈丸收束,Shutgun Choke
62057,,,赏金猎人,賞金獵人,Bounty Hunter
62058,,,狂热,狂熱,Fever
62059,,,强化投掷,强化投擲,Power Throw
62060,,,巨型回旋镖,巨型回旋鏢,Bigger Boomerang
62061,,,精锐杀手,精銳殺手,Elite Killer
62062,,,连击球,连击球,Sustained Orb
62063,,,电磁加速,電磁加速,Accelerate
62064,,,生物电能,生物電能,Energy Draining
62065,,,快速充能,快速充能,Rapid Charge
62066,,,风刃连击,風刃連擊,Auto Orb
62067,,,顺风射击,順風射擊,Windborne Orb
62068,,,消灭折扣,消滅折扣,Slay Savings
62069,,,碎片扩散,碎片擴散,Shrapnel Spread
62070,,,满载炸弹,滿載炸弹,Fully Loaded
63001,,,{0}伤害+{1}%,{0}傷害+{1}%,+{1}% Damage for {0}
63002,,,{0}攻速+{1}%,{0}攻速+{1}%,+{1}% Atk Speed for {0}
63003,,,{0}爆炸范围+{1}%,{0}爆炸範圍+{1}%,+{1}% AOE Radius for {0}
63004,,,{0}能量球数量+{1}个,{0}能量球數量+{1}個,+{1} Orb count for {0}
63005,,,{0}攻击时有{1}%的几率连续攻击2次,{0}攻擊時有{1}%的機率連續攻擊2次,+{1}% chance for {0} to shot an extra arrow when attack.
63006,,,{0}每{1}次攻击后，下1次攻击会造成范围伤害,{0}每{1}次攻擊後，下1次攻擊會造成範圍傷害,"After every {1} attacks, {0} next attack causes AOE damage"
63007,,,{0}每攻击{1}次后下一击必定暴击,{0}每攻擊{1}次後下一擊必定暴擊,Every {1} attacks ensure the next {0} hit is a critical strike
63008,,,场上每有1个{0}，佣兵的攻击+{1}%，攻速+{2}%，上限{3}%,場上每有1個{0}，傭兵的攻擊+{1}%，攻速+{2}%，上限{3}%,"For every {0} on the field, Guardians +{1}% Attack, +{2}% Atk Speed. (Capped at {3}%)"
63009,,,{0}前{1}波伤害+{2}%,{0}前{1}波傷害+{2}%,+{2}% Damage for {0} in first {1} waves
63010,,,{0}击杀{1}个敌人后，随机变成一个同等级的其他防御塔,{0}擊殺{1}個敵人後，隨機變成一個同等級的其他防禦塔,"After defeating {1} enemies,  {0} transforms into a random tower"
63011,,,{0}命中敌人时有{1}%几率使敌人击退{2}格,{0}命中敵人時有{1}%機率使敵人擊退{2}格,+{1}% chance for {0} to knock back enemies {2} girds
63012,,,{0}子弹数量+{1}，攻速-{2}%,{0}子彈數量+{1}，攻速-{2}%,"{0} +{1} Bullet count, Atk Speed -{2}%"
63013,,,{0}攻速+{1}%，射程-{2}%,{0}攻速+{1}%，射程-{2}%,"{0} +{1}% Atk Speed, -{2}% Range"
63014,,,{0}子弹的弹跳次数+{1}，弹跳伤害{2}%,{0}子彈的彈跳次數+{1}，彈跳傷害{2}%,"{0} +{1} Bullets bounce, {2}% Damage"
63015,,,{0}子弹数量+{1}，爆炸范围减少{2}%,{0}子彈數量+{1}，爆炸範圍減少{2}%,"{0} +{1} Bullet count ,-{2}% AOE"
63016,,,{0}子弹爆炸后会留下一个减速{1}%的地面，持续{2}秒,{0}子彈爆炸後會留下一個減速{1}%的地面，持續{2}秒,{0} bullets can burn the area for {2} seconds. Enemies stand on it are slowed by {1}%.
63017,,,{0}每次攻击会击退敌方单位{1}格,{0}每次攻擊會擊退敵方單位{1}格,{0} can knock back enemies {1} tile
63018,,,{0}射程+{1}%,{0}射程+{1}%,+{1}% Range for {0}
63019,,,{0}子弹命中目标减速{1}%，持续{2}秒,{0}子彈命中目標減速{1}%，持續{2}秒,{0} bullets slow targets by {1}% for {2} seconds
63020,,,{0}子弹数+{1}倍，但是攻击-{2}%,{0}子彈數+{1}倍，但是攻擊-{2}%,"{0} bullet count x{1} , -{2}% Damage"
63021,,,{0}释放子弹数量超过{1}，攻速+{2}%，直到波次结束,{0}釋放子彈數量超過{1}，攻速+{2}%，直到波次結束,"After throwing {1} boomerangs, {0} +{2}% Atk Speed till the wave ends."
63022,,,若{0}击中目标血量超过{1}%，晕眩{2}秒，BOSS时间减半,若{0}擊中目標血量超過{1}%，暈眩{2}秒，BOSS時間減半,{0} can stun enemy with more than {1}% health for {2} seconds. (Stun Duration -50% on BOSS)
63023,,,{0}击中的单位防御-{1}%，持续{2}秒,{0}擊中的單位防禦-{1}%，持續{2}秒,-{1}% Enemy Defense for {2} seconds when hit by {0}
63024,,,{0}击中血量小于{1}%的单位有{2}%的概率斩杀,{0}擊中血量小於{1}%的單位有{2}%的機率斬殺,+{2}% Chance for {0} to execute enemy with less than {1}% health
63025,,,{0}每击杀{1}个敌人，回复{2}点已损失的羊村生命,{0}每擊殺{1}個敵人，回復{2}點已損失的羊村生命,Restores {2} HP for evey {1} enemies defeated by {0}.
63026,,,{0}子弹每穿过一个敌方单位，子弹攻击+{1}%,{0}子彈每穿過一個敵方單位，子彈攻擊+{1}%,+{1}% {0} Damage for each enemy the orb goes through
63027,,,子弹每飞行1个格子，爆炸范围+{1}%,子彈每飛行1個格子，爆炸範圍+{1}%,+{1}% AOE radius for every tile bullet traveled
63028,,,子弹每飞行1个格子，伤害+{1}%,子彈每飛行1個格子，傷害+{1}%,+{1}% Damage for every tile bullet traveled
63029,,,子弹对爆炸中心的{1}%范围内的敌人伤害+{2}%,子彈對爆炸中心的{1}%範圍內的敵人傷害+{2}%,+{2}% Damage to enemies within {1}% of the AOE center
63030,,,子弹飞行速度+{1}%，伤害+{2}%,子彈飛行速度+{1}%，傷害+{2}%,"+{2}% Damage, +{1}% Bullet speed"
63031,,,子弹爆炸时有{1}%的几率使范围内的敌人眩晕{2}秒,子彈爆炸時有{1}%的機率使範圍內的敵人暈眩{2}秒,+{1}% Chance to stun enemies within range for {2} seconds
63032,,,紫宝石闪电链目标数量+{1}个,紫寶石閃電鏈目標數量+{1}個, Amethyst lightning chain targets increase by {1}
63033,,,{0}对处于异常状态下的单位造成的伤害+{1}%,{0}對處於異常狀態下的單位造成的傷害+{1}%,+{1}% {0} Damage to debuffed enemies
63034,,,1格范围内，每有1个塔，{0}攻击+{1}%,1格範圍內，每有一個塔，{0}攻擊+{1}%,+{1}% {0} Attack for each tower within 1 tile
63035,,,1格范围内，每有1个塔，{0}攻速+{1}%,1格範圍內，每有一個塔，{0}攻速+{1}%,+{1}% {0} Atk Speed for each tower nearby
63036,,,{0}每{1}秒攻速+{2}%，持续{3}秒,{0}每{1}秒攻速+{2}%，持續{3}秒,"Every {1} seconds, {0}  +{2}% Atk Speed for {3} seconds"
63037,,,{0}击杀敌人时，攻击+{1}%，攻速+{2}%，持续{3}秒,{0}擊殺敵人时，攻擊+{1}%，攻速+{2}%，持續{3}秒,"When defeating enemies, {0} +{1}% Damage, +{2}% Atk Speed for {3} seconds "
63038,,,{0}每次攻击提高攻击{2}%。上限{3}层，切换目标重置。攻击-{1}%,{0}每次攻擊提高攻擊{2}%。上限{3}層，切換目標重置。攻擊-{1}%,Every hit +{2}% Attack. (Up to {3} stacks (reset after switching targets). -{1}% Attack
63039,,,{0}攻击+{1}%，但每次攻击将随机选择射程内目标,{0}攻擊+{1}%，但每次攻擊將隨機選擇射程內目標,+{1}% Attack. Randomly attack target within range.
63040,,,每波开始，{0}有{1}%概率进入过载状态，暴击概率+{2}%，暴击伤害+{3}%；,每波開始，{0}有{1}%概率進入過載狀態，暴擊概率+{2}%，暴擊傷害+{3}%；,"At the beginning of each wave, {0} has {1}% chance to Overload: +{2}% Crit Chance; +{3}% Crit Damage"
63041,,,{0}子弹弹跳次数+{1}，伤害-{2}%,{0}子彈彈跳次數+{1}，傷害-{2}%,"+{1} {0} bullet bounce, -{2}% Damage"
63042,,,{0}炮弹着陆时有{1}%概率多爆炸{2}次,{0}炮彈著陸時有{1}%概率多爆炸{2}次,+{1}% Chance for {0} to explode {2} times
63043,,,{0}波次开始的前{1}秒，攻速+{2}%,{0}波次開始的前{1}秒，攻速+{2}%,"At the beginning of each wave, {0} +{2}% Atk speed for {1} seconds"
63044,,,{0}每击杀{1}个敌人，获得{2}建造点,{0}每擊殺{1}個敵人，獲得{2}建造點,+{2} Cogs when {0} defeating {1} enemies
63045,,,{0}击杀{1}个敌人后，下一次攻击伤害+{2}%,{0}擊殺{1}個敵人後，下一次攻擊傷害+{2}%,"After defeating {1} enemies, {0} +{2}% Attack for the next shot"
63046,,,{0}攻击精英/首领怪物时，攻击+{1}%,{0}攻擊精英/首領怪物時，攻擊+{1}%,+{1}% {0} Attack when the target is Elites/BOSS
63047,,,{0}子弹碰撞后不消失，但是伤害-{1}%,{0}子彈碰撞後不消失，但是傷害-{1}%,"Orbs stay after impact, -{1}% {0} Damage"
63048,,,{0}能量球的旋转速度+{1}%,{0}能量球的旋轉速度+{1}%,+{1}% Orbs spin speed for {0}
63049,,,{0}射程内的怪物移动速度-{1}%，多个电磁震荡塔不叠加,{0}射程內的怪物移動速度-{1}%，多個震蕩塔不疊加,{0} can -{1}% Nearby enemies' Movement Speed. (No Stack)
63050,,,{0}击杀{1}个敌人，获得{2}个能量球,{0}擊殺{1}個敵人，獲得{2}個能量球,+{2} Orbs when {0} defeating {1} enemies
63051,,,{0}能量球生成间隔-{1}%,{0}能量球生成間隔-{1}%,+{1}% Orbs recharging speed for {0}
63052,,,每有{1}个能量球消失，{0}{2}格范围的塔暴击+{3}%，持续{4}秒，最多{5}层,每有{1}個能量球消失，{0}{2}格範圍的塔暴擊+{3}%，持續{4}秒，最多{5}層,{0} can +{3}% Crit Chance for towers within {2} tiles for {4} seconds when {1} orbs detonate. Up to {5} stacks.
63053,,,{0}索敌范围+{1}%,{0}索敵範圍+{1}%,+{1}% Detecting range for {0}
63054,,,{0}子弹+{1}，射速-{2}%,{0}子彈+{1}，射速-{2}%,"+{1} {0} bullet count, -{2}% Atk Speed"
63055,,,{0}子弹大小+{1}%，伤害+{2}%,{0}子彈大小+{1}%，傷害+{2}%,"+{1}% {0} bullet size, +{2}% Damage"
63056,,,{0}{1}级+{2}飞行距离，{3}级+{4}飞行距离,{0}{1}級+{2}飛行距離，{3}級+{4}飛行距離,+{2}/{4} {0} bullet traveling range at Lv.{1}/Lv.{3}
63057,,,{0}爆炸范围有{1}%概率造成{2}秒晕眩,{0}爆炸範圍有{1}%概率造成{2}秒暈眩,+{1}% Chance for {0} to cause {2} seconds stun
63058,,,{0}爆炸范围+{1}%，但是攻击-{2}%,{0}爆炸範圍+{1}%，但是攻擊-{2}%,"+{1}% {0} AOE radius, -{2}% Attack"
63059,,,{0}在{1}秒内没有造成伤害，下次攻击子弹+{2},{0}在{1}秒內沒有造成傷害，下次攻擊子彈+{2},+{2} Bombs for the next attack if not causing any damage within {1} seconds
63060,,,{0}击杀的单位会对附近{1}格的空中单位造成此单位最大生命{2}%的伤害,{0}擊殺的單位會對附近{1}格的空中單位造成此單位最大生命{2}%的傷害,{0} deals {2}% of the defeated enemy's max health as damage to nearby air enemies within {1} tiles.
63061,,,{0}击杀{1}个敌人后，升级将变为免费,{0}擊殺{1}個敵人後，升級將變為免費,"After defeating {1} enemies, {0} upgrading becomes free"
63062,,,{0}子弹体积增大{1}%,{0}子彈體積增大{1}%,+{1}% {0} bullet size
63063,,,{0}范围增大{1}%，飞行速度+{2}%,{0}範圍增大{1}%，飛行速度+{2}%,"+{1}% Range, +{2}% travel speed for {0}"
63064,,,{0}子弹+{1}，攻速-{2}%,{0}子彈+{1}，攻速-{2}%,"+{1} {0} bullet count, -{2}% Atk Speed"
63065,,,{0}每击杀{1}个单位，攻速+{2}%，上限{3}%,{0}每擊殺{1}個單位，攻速+{2}%，上限{3}%,"After defeating {1} enemies, {0} +{2}% Atk Speed (up to {3}%)"
63066,,,{0}每次攻击提升攻速{2}%，上限{3}层，若{4}秒未攻击则重置。攻速-{1}%,{0}每次攻擊提升攻速{2}%，上限{3}層，若{4}秒未攻擊則重置。攻速-{1}%,+{2}% {0} Atk Speed for each hit (max {3} stacks). Resets if not attacking in {4} seconds. -{1}% Atk Speed
63067,,,{0}子弹数量+{1}，造成的伤害-{2}%,{0}子彈數量+{1}，造成的傷害-{2}%,"+{1} {0} bullet count, -{2}% Damage dealt"
70000,,,新手村-1,新手村-1,Tutorial I
70001,,,新手村-2,新手村-2,Tutorial II
70002,,,新手村-3,新手村-3,Tutorial III
70003,,,丛林1-1,叢林1-1,Jungle  1-1
70004,,,丛林1-2,叢林1-2,Jungle  1-2
70005,,,丛林1-3,叢林1-3,Jungle  1-3
70006,,,丛林1-4,叢林1-4,Jungle  1-4
70007,,,丛林1-5,叢林1-5,Jungle  1-5
70008,,,丛林1-6,叢林1-6,Jungle  1-6
70009,,,丛林1-7,叢林1-7,Jungle  1-7
70010,,,丛林1-8,叢林1-8,Jungle  1-8
70011,,,丛林1-9,叢林1-9,Jungle  1-9
70012,,,沼泽2-1,沼澤2-1,Swamp 2-1
70013,,,沼泽2-2,沼澤2-2,Swamp 2-2
70014,,,沼泽2-3,沼澤2-3,Swamp 2-3
70015,,,沼泽2-4,沼澤2-4,Swamp 2-4
70016,,,沼泽2-5,沼澤2-5,Swamp 2-5
70017,,,沼泽2-6,沼澤2-6,Swamp 2-6
70018,,,沼泽2-7,沼澤2-7,Swamp 2-7
70019,,,沼泽2-8,沼澤2-8,Swamp 2-8
70020,,,沼泽2-9,沼澤2-9,Swamp 2-9
70021,,,沙漠边缘,沙漠邊緣,Desert Edge
70022,,,安蒂亚村,安蒂亞村,Antia
70023,,,流沙村,流沙村,Quicksand
70024,,,德泽沙漠,德澤沙漠,Dezert Sands
70025,,,荒芜戈壁,荒蕪戈壁,Barren Wasteland
70026,,,凯奇镇,凱奇鎮,Kedge Town
70027,,,奥雷矿场,奧雷礦場,Ore Mines
70028,,,矿区铁道,礦區鐵道,Mine Railway
70029,,,麦恩矿山,麥恩礦山,Maine Mine
70030,,,风起沙丘,風起沙丘,Rising Dunes
70031,,,迷尘沙丘,迷塵沙丘,Dusty Dunes
70032,,,杜恩沙丘,杜恩沙丘,Dune of Doom
70033,,,风沙峡谷,風沙峽谷,Windy Canyon
70034,,,菲洛克村,菲洛克村,Phyloc
70035,,,热风深谷,熱風深谷,Hotwind Ravine
70036,,,沙海废墟,沙海廢墟,Sandswept Ruins
70037,,,碎石废墟,碎石廢墟,Shattered Ruins
70038,,,遗迹荒城,遺跡荒城,Ancient City
70039,,,干枯河谷,乾枯河谷,Dry Ravine
70040,,,沙痕干河,沙痕乾河,Dustmark Riverbed
70041,,,荒漠河谷,荒漠河谷,Desert Canyon
70042,,,艾伊尔村,艾伊爾村,Aiel
70043,,,风沙驿站,風沙驛站,Sandswept Outpost
70044,,,烈日营地,烈日營地,Sun Camp
70045,,,三迪镇,三迪鎮,Sandy Town
70046,,,绿洲边缘,綠洲邊緣,Oasis Edge
70047,,,绿洲细河,綠洲細河,Oasis Stream
70048,,,沙池绿洼,沙池綠窪,Sandpool Green
70049,,,沙漠绿泊,沙漠綠泊,Desert Oasis
70050,,,沙湖碧泊,沙湖碧泊,Lake of Emeralds
70051,,,巴罗村,含水洞窟,A water-bearing cave
70052,,,葱茏丛林,寒冷空穴,Cold hole
70053,,,缺省关卡名3,河流村,River Town
70054,,,缺省关卡名4,黑暗洞窟,Cave of darkness
70055,,,缺省关卡名5,黑火村,Black Fire Town
70056,,,赤火地带,呼嚕嚕村,Hululu Town
70057,,,玄武岩盆地3,虎克工廠,Hook Factory
70058,,,火山口3,花海,Sea of flowers
70059,,,银蛇之巅,黃金海灘,Golden Beach
70060,,,雪峰山脉3,火山村1,Volcano Town 1
70061,,,风雪平原3,火山村2,Volcano Town 2
70062,,,缺省关卡名12,漿果村,Berry Town
70063,,,缺省关卡名13,卡西村,Cassie Town
70064,,,缺省关卡名14,凱奇鎮,Cage Town
70065,,,缺省关卡名15,考斯特岸,Coster Bank
70066,,,缺省关卡名16,克勒蒙村,The Town of Clermont
70067,,,缺省关卡名17,礦區鐵道,Railway in mining area
70068,,,缺省关卡名18,拉卡維村,The Town of Raqqawi
70069,,,缺省关卡名19,拉瓦錫鎮,The town of Lavoisier
70070,,,缺省关卡名20,雷尼爾村,Rainier Town
70071,,,缺省关卡名21,烈焰熔爐,Furnace of fire
70072,,,缺省关卡名22,流沙村,Quicksand Town
70073,,,缺省关卡名23,魯姆車間,Ruum Workshop
70074,,,缺省关卡名24,麥恩礦山,Manne mine
70075,,,缺省关卡名25,密林村,Dense forest Town
70076,,,缺省关卡名26,莫諾雷村,The Town of Monore
70077,,,缺省关卡名27,瀑布,waterfall
70078,,,缺省关卡名28,丘陵,Hills
70079,,,缺省关卡名29,丘陵1,Hill 1
70080,,,缺省关卡名30,丘陵2,Hill 2
70081,,,缺省关卡名31,熔巖村1,Lava Town 1
